Id,Name,cpu_model,cpu_codename,sale_info,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28,2024-09-29,2024-09-30
15834833,AMD A4 3400 (라노),AMD A4 3400,라노,중고,2500,2500,0,0,0,2500,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,3990,3990,3990,3990,3990,3990,0,0,0,3990,4000,4000,4000,4000,4000,4000,0,0,0,0,4000,4000,4000,4000,2990,2990,2990,2990,2990,2990
9736854,AMD EPYC 7232P (롬),AMD EPYC 7232P,롬,정품,0,0,0,0,924000,0,0,0,0,0,0,0,924000,924000,924000,924000,0,924000,924000,0,0,0,0,0,0,0,0,0,0,0
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,1963520,1963490,1963390,1963370,1963250,0,0,1962890,1962770,1962650,1962530,1962410,1986030,1986030,1986030,1986030,1986030,1986030,0,1986030,0,0,1986030,0,0,0,0,1985850,1985840,1985810
9736764,AMD EPYC 7302P (롬),AMD EPYC 7302P,롬,정품,1062590,1062570,1062540,1062460,0,0,0,0,0,1061870,1061750,1061630,1062790,1062790,1062790,1062790,0,0,0,1062790,1062790,0,1062790,0,1062720,1062680,1062660,1062650,1062640,1062630
9736680,AMD EPYC 7452 (롬),AMD EPYC 7452,롬,정품,4200000,4200000,4200000,4200000,4200000,4200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,1667210,1667190,1667180,1667180,1667130,1667010,1666890,1666770,1666650,1666530,1666410,1666290,1689990,1689990,1689990,1689990,1689990,1689990,1689990,1689990,1689990,1689990,1689990,1689930,1689820,1689780,1689750,1689650,1689640,1689610
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,12799910,12799910,12799910,0,12799910,0,0,0,0,0,0,0,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,0,0,0,0,0,0,0,0
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,5580,5580,5580,5580,5580,0,0
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,26880,26870,26030,26020,26820,26710,26610
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,917290,917300,917300,917300,917290,917290,917290,917290,944890,944890,944890,944890,944890,944900,944900,944900,944900,944900,944900,944900,944900,944900,944900,944890,944890,944890,944890,944890,944890,944890
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),AMD 라이젠 스레드리퍼 2970WX,콜팩스,해외구매,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390
11035740,AMD 라이젠 스레드리퍼 2990WX (콜팩스),AMD 라이젠 스레드리퍼 2990WX,콜팩스,해외구매,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338600,5338600,5338600,5338600,5328600,5328590,5328590,5168442,5168440,5168440,5178440,5178440
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),AMD 라이젠 스레드리퍼 3970X,캐슬 픽,해외구매,2979780,3003160,3003150,3003140,3003110,3002990,2878070,2877960,2877840,2877720,2877600,2877480,2878090,2878090,2878090,2878090,2869390,2869390,2869390,2869390,2869390,2869390,2869390,2853290,2853220,2853170,2853160,2853130,2853010,2852910
