Id,Name,cpu_model,cpu_codename,sale_info,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31
15834833,AMD A4 3400 (라노),AMD A4 3400,라노,중고,1880,1770,1910,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1330,1330,1430,1400,0,0,0,1400,0,0,0,1400
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,2990,2990,2990,2990,2990,0,2990,2990,2990,2990,1900,1990,1990,0,0,0,0,1990,1990,1990,1990,1990,1990,1990,1990,0,0,1990,1990,1990,1990
9736764,AMD EPYC 7302P (롬),AMD EPYC 7302P,롬,정품,0,0,0,0,0,0,0,0,0,1059110,1059020,1058900,1058780,0,0,0,1058670,0,0,0,0,0,0,0,0,1057660,1057540,1057530,1057500,1057380,1057260
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,1705870,1705750,1705630,1705510,1705500,1705470,1705350,1705230,1705140,1705120,1705030,1704910,1704790,1704740,1704710,1704700,1704670,1704550,1704430,1704310,1704200,1704100,1704070,1703950,1703830,1703710,1703590,1703580,1703550,1703430,1703310
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,0,0,0,0,0,0,12799910,0,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,0,0,0,0,0,0,0,0,0,0,0
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,5380,5580,5550,5430,5420,5390,5580,5400,5480,5370,3610,3660,3630,3580,3560,3660,3630,3560,3640,3560,3660,3620,3660,3630,3660,3630,3650,3640,3610,3660,3630
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,25010,24890,25200,25170,25160,25130,25010,24890,25200,25180,22100,22500,22470,22420,22390,22380,22360,22260,22230,22500,22470,22350,22230,22500,22470,22350,22230,22220,22220,22500,22470
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,944890,944890,944890,944890,875770,944890,944890,944890,944890,944890,944890,944890,944890,875770,875770,944890,944890,944890,944890,944890,875770,875770,944890,944890,944890,944890,944890,875770,875770,944890,944890
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),AMD 라이젠 스레드리퍼 2970WX,콜팩스,해외구매,1655600,1655600,1655600,1655600,1470120,1650600,1650600,1650600,1650600,1650600,1650600,1650600,1650600,1470120,1470120,1650600,1650600,1650600,1650600,1650600,1470120,1470120,1650600,1650600,1650600,1650600,1650600,1470120,1470120,1650600,1650600
