Id,Name,cpu_model,cpu_codename,sale_info,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,0,0,0,0,0,0,0,14250,14250,14250,0,14250,14250,14250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89607479,AMD EPYC 4584PX (라파엘),AMD EPYC 4584PX,라파엘,멀티팩 정품,847520,847520,847520,847520,840110,840100,840090,840080,840070,839930,840030,839920,839840,839810,839780,839750,839690,839670,839430,839170,838960,838690,838590,838470,838390,838300,838270,847510
92678627,AMD EPYC 4585PX (그라도),AMD EPYC 4585PX,그라도,멀티팩 정품,990590,990590,990590,990590,990590,990590,990590,990590,990590,990590,990590,990510,990430,990390,990360,990330,990290,990270,990210,990160,990090,990040,990010,989910,985530,985440,985380,985380
9736764,AMD EPYC 7302P (롬),AMD EPYC 7302P,롬,정품,0,0,0,0,0,0,0,0,0,1070630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,18810,18780,18690,18660,18590,18990,18970,18860,18790,18730,18990,18930,18910,18840,18790,18770,18700,18660,18640,18580,18990,18930,18910,18870,18830,18810,18790,18760
11035590,AMD 라이젠 스레드리퍼 1900X (화이트헤븐),AMD 라이젠 스레드리퍼 1900X,화이트헤븐,해외구매,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870
5565155,AMD 라이젠 스레드리퍼 1920X (화이트헤븐),AMD 라이젠 스레드리퍼 1920X,화이트헤븐,해외구매,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,187910,192600,192600,192600,192590
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880
10946196,AMD 라이젠 스레드리퍼 2920X (콜팩스),AMD 라이젠 스레드리퍼 2920X,콜팩스,해외구매,422200,422200,422200,422200,422200,422200,422200,422200,422200,422200,461800,461800,461800,461800,461800,461800,461800,461800,461800,461800,461800,461800,461800,461790,461800,461800,461800,461690
11036559,AMD 라이젠 스레드리퍼 2950X (콜팩스),AMD 라이젠 스레드리퍼 2950X,콜팩스,해외구매,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990,821990
