Id,Name,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,gpu_model,capacity,tail_paren,name_rest
36709217,AFOX 라데온 RX 580 2048SP D5 8GB 대원씨티에스,0,0,0,"131,010","131,010","131,010","131,010","131,010","130,980","130,950","130,940","130,910","130,790","130,670","131,010","131,010","131,010","131,000","131,000","131,010","131,010","133,000","133,000","133,000","132,990","132,990","132,990","131,010","131,010","131,010","131,000",RX 580 2048SP,8GB,0,AFOX 라데온 D5 대원씨티에스
68241932,AFOX 지포스 GTX 1660 SUPER H7 D6 6GB DUAL 백플레이트 대원씨티에스,"252,410","252,420","252,420","252,420","252,420","252,420","252,420","252,420","252,410","252,410","252,420","252,420","252,420","252,420","252,410","252,410","252,410","252,410","252,410","252,420","256,400","256,400","256,400","256,400","256,390","256,390","256,390","256,390","256,390","256,390","256,390",GTX 1660 SUPER,6GB,0,AFOX 지포스 H7 D6 DUAL 백플레이트 대원씨티에스
62160371,AFOX 지포스 GTX 1660 SUPER H7 D6 6GB DUAL 백플레이트 디앤디컴,"254,990","255,000","255,000","245,100","245,100","245,100","255,000","257,000","256,990","256,990","256,510","256,510","257,000","257,000","256,990","256,990","256,990","256,990","256,990","257,000","257,000","257,000","257,000","256,147","248,118","248,118","256,140","256,140","256,140","256,140","256,990",GTX 1660 SUPER,6GB,0,AFOX 지포스 H7 D6 DUAL 백플레이트 디앤디컴
48479429,AFOX 지포스 RTX 2060 SUPER H4 D6 8GB DUAL 디앤디컴,"318,650","318,650","318,650","318,650","318,650","318,650","318,650","318,650","318,650","318,650","318,640","318,640","318,640","318,650","318,650","327,920","327,920","318,650","318,650","318,650","318,650","318,650","320,800","320,800","324,691","324,691","327,920","327,920","327,920","327,920","327,920",RTX 2060 SUPER,8GB,0,AFOX 지포스 H4 D6 DUAL 디앤디컴
21540671,AFOX 지포스 RTX 3060 D6 12GB 대원씨티에스,"384,000","384,000","384,000","384,000","384,000","384,000","384,000","384,000","384,000","384,000","384,000","384,000","384,000","384,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RTX,12GB,0,AFOX 지포스 3060 D6 대원씨티에스
21540593,AFOX 지포스 RTX 3060 Ti D6 8GB 대원씨티에스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"502,000","502,000","502,000","502,000","502,000","502,000","502,000","502,000",0,0,"502,000","502,000",0,RTX 3060 Ti,8GB,0,AFOX 지포스 D6 대원씨티에스
21540362,AFOX 지포스 RTX 3070 D6 8GB 대원씨티에스,"578,700","578,700","578,700","578,700","578,700","578,700","574,430","573,900","573,890","598,990","633,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RTX 3070,8GB,0,AFOX 지포스 D6 대원씨티에스
21538472,AFOX 지포스 RTX 3090 D6 24GB 대원씨티에스,"2,342,030","2,342,040","2,342,040","2,342,040","2,342,040","2,342,040","2,342,040","2,342,040","2,342,030","2,342,030","2,342,040","2,342,040","2,342,000","2,342,000","2,342,000","2,342,000","2,342,000","2,342,000","2,342,000","2,342,040","2,342,040","2,342,040","2,342,040","2,342,040","2,342,030","2,342,030","2,342,030","2,342,030","2,342,030","2,342,030","2,342,030",RTX 3090,24GB,0,AFOX 지포스 D6 대원씨티에스
11250150,AKiTiO 노드 타이탄 eGPU BOX,"467,990","467,990","467,990","467,990","468,000","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","456,720","468,000","468,000","468,000","468,000","468,000","468,000","468,000","468,000",GPU,0,0,AKiTiO 노드 타이탄 e BOX
54103622,AKiTiO 노드 타이탄 eGPU BOX (해외구매),"471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","471,000","459,080","459,080","459,080","459,080","459,080","471,000","471,000","471,000",GPU,0,해외구매,AKiTiO 노드 타이탄 e BOX
15360209,AMD 라데온 PRO W5500 D6 8GB 대원씨티에스,"386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","386,510","388,980","388,980","388,980","388,980","388,980","388,980","388,980","388,980","388,980","388,980","388,980",PRO W5500,8GB,0,AMD 라데온 D6 대원씨티에스
15091757,AMD 라데온 PRO W6600 D6 8GB,"972,470","972,470","972,470","972,470","972,480","972,480","972,480","972,480","972,480","972,480","972,470","972,470","972,470","972,470","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480","972,480",PRO W6600,8GB,0,AMD 라데온 D6
15129071,AMD 라데온 PRO W6600 D6 8GB 대원씨티에스,"749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000","749,000",PRO W6600,8GB,0,AMD 라데온 D6 대원씨티에스
26036747,AMD 라데온 PRO W7500 D6 8GB,"655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","655,390","658,300","658,300","658,300","658,300","658,300","658,300","658,300","658,300","658,300",PRO W7500,8GB,0,AMD 라데온 D6
26035931,AMD 라데온 PRO W7600 D6 8GB,"919,900","919,900","919,900","919,900","919,900","902,560","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900","919,900",PRO W7600,8GB,0,AMD 라데온 D6
