Id,Name,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,gpu_model,capacity,tail_paren,name_rest
78306452,AFOX 라데온 RX 580 2048SP D5 8GB 디앤디컴,"165,000","165,000","165,000","165,000","165,000","170,000","170,000","183,000","183,000","183,000","239,000","239,000","239,000","239,000","239,000","239,000","239,000",0,0,0,0,0,0,0,0,0,0,0,0,0,RX 580 2048SP,8GB,0,AFOX 라데온 D5 디앤디컴
19565588,AFOX 지포스 GTX 1660 SUPER H4 D6 6GB DUAL 대원씨티에스,0,0,0,0,0,0,0,0,0,0,"239,560","239,560","243,950","243,950",0,0,"243,950","243,950",0,0,"243,950","243,950","243,950","243,950","243,950","243,950","243,950","243,950","243,950","243,950",GTX 1660 SUPER,6GB,0,AFOX 지포스 H4 D6 DUAL 대원씨티에스
62160371,AFOX 지포스 GTX 1660 SUPER H7 D6 6GB DUAL 백플레이트 디앤디컴,"275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530","275,530",0,0,0,0,0,GTX 1660 SUPER,6GB,0,AFOX 지포스 H7 D6 DUAL 백플레이트 디앤디컴
86956622,AFOX 지포스 RTX 3060 Ti D6 8GB DUAL 디앤디컴,"451,470","451,440","453,990","453,990","453,990","453,990","453,990","451,410","451,380","451,340","453,990","453,990","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000","454,000",RTX 3060 Ti,8GB,0,AFOX 지포스 D6 DUAL 디앤디컴
21540593,AFOX 지포스 RTX 3060 Ti D6 8GB 대원씨티에스,"452,290","452,200","452,150","452,090","452,020","451,980","451,920","451,870","451,820","451,860","451,720","451,700","451,650","451,650","451,650","451,650","451,650","451,650","451,650","451,650","451,650","451,650","451,650","451,650","451,650","451,600","451,560","451,440","451,420","451,420",RTX 3060 Ti,8GB,0,AFOX 지포스 D6 대원씨티에스
21540362,AFOX 지포스 RTX 3070 D6 8GB 대원씨티에스,"631,270","631,270","631,270","631,270","631,270","631,270","623,830","623,830","623,830","623,830","623,830","623,830","631,270","631,270","631,270","631,270","631,270","631,270","631,270","631,270","631,270","631,270","631,270","631,270","631,270","631,230","631,270","631,270","631,270","631,270",RTX 3070,8GB,0,AFOX 지포스 D6 대원씨티에스
21538472,AFOX 지포스 RTX 3090 D6 24GB 대원씨티에스,"2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050","2,355,050",RTX 3090,24GB,0,AFOX 지포스 D6 대원씨티에스
95929190,AFOX 지포스 RTX 4080 SUPER BLOWER D6X 16GB 에즈윈,"2,190,000","2,190,000","2,190,000","2,190,000","2,190,000","2,190,000","2,190,000","2,190,000","2,190,000","2,190,000","2,190,000",0,0,"2,190,000",0,0,0,0,0,0,0,0,0,0,0,"2,310,000","2,310,000","2,310,000","2,310,000","2,310,000",RTX 4080 SUPER,16GB,0,AFOX 지포스 BLOWER D6X 에즈윈
15360209,AMD 라데온 PRO W5500 D6 8GB 대원씨티에스,"388,130","388,080","388,040","387,990","387,930","387,740","387,680","387,000","386,940","386,980","386,840","386,780","386,720","386,660","386,620","386,570","386,560","386,450","386,430","386,430","386,430","386,430","386,430","386,430","386,380","386,320","386,190","386,100","385,980","385,860",PRO W5500,8GB,0,AMD 라데온 D6 대원씨티에스
26035931,AMD 라데온 PRO W7600 D6 8GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"911,790","911,790","911,790","911,790","911,790",PRO W7600,8GB,0,AMD 라데온 D6
