Component,Factor,Beta,P_value,Partial_R2
GPU,SOXX_ret,0.0029839870871525027,0.62698614092324,0.01267985054705646
GPU,CSI_diff,0.0036430518086195567,0.5580810021854858,0.018364332122572963
GPU,Oil_ret,0.0005125299709419339,0.92743552721152,0.00044806413523008285
GPU,BTC_ret,-0.011197096758955909,0.05482338964529441,0.18058108984762267
CPU,SOXX_ret,0.004167092002398681,0.2660069796586573,0.06465747696765733
CPU,CSI_diff,0.003096044119181207,0.4103898907467912,0.03595229042778581
CPU,Oil_ret,0.0017127146664495298,0.6143081271093954,0.013627831945258403
CPU,BTC_ret,-0.0017653707738254421,0.5981903520057537,0.014894626574756046
RAM,SOXX_ret,0.015337868520480163,0.4655730487628069,0.028359550987839207
RAM,CSI_diff,0.002444221570960664,0.9078392435417342,0.0007238728006086783
RAM,Oil_ret,-0.004991990884423649,0.7949009107418625,0.003644681509983559
RAM,BTC_ret,-0.02517750350526385,0.19304298449166893,0.08746453566887061
