Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
11830747,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,32GB,32,89650,89560,89660,89660,89660,89660,89660,91000,91000,90970,91000,91000,90990,90960,91000,91000,91000,91000,91000,90990,90990,91000,91000,90980,0,90800,90950,90950,90950,90950
11830747,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,16GB,16,41700,41700,41700,41700,41700,41700,41700,41700,41700,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44190,44200,44200,44200,44200,0,44200,44200,44200,44200,44200
11830747,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,8GB,8,22460,22460,22460,23130,23130,23130,23130,23130,23340,23340,23340,23340,23340,23340,23340,23340,23340,23340,23340,23340,23300,23340,23340,23340,0,23000,23000,23000,23000,23000
27940799,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,32GB,32,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,140160,0,141420,141420,141420,141420,141420
27940799,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,16GB,16,75200,75040,75200,75040,69550,73100,73100,76480,76310,76300,76300,76300,76300,76300,76300,76300,76300,76300,76300,76300,76300,76300,76300,76300,0,76300,76300,76300,76300,76300
28395059,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,32GB(16GX2),32,0,0,0,0,0,117000,117000,117000,139480,139480,139470,139500,139490,139460,139500,139500,139500,139500,139500,139490,139490,139500,113500,113460,0,113480,113370,113250,113150,113150
28395059,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,64GB(32GX2),64,0,0,0,0,0,259000,258990,258990,247380,258300,258200,258200,258200,258200,258200,258200,258200,255060,258300,258300,258300,258290,237830,237830,0,237830,237830,237830,237830,237830
29822102,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,16GB,16,65000,64980,64920,64800,64760,64730,64990,65000,65030,64990,64980,64880,64990,65000,65000,65000,65000,65000,65000,64990,64990,65000,0,65000,0,65000,65000,65000,65000,65000
29822102,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,32GB,32,119270,119490,119490,119490,119500,119500,119490,119500,119500,119490,119500,119470,119490,119490,119500,119500,119500,119500,119500,119490,119490,119500,0,119500,0,119500,119500,119500,119500,119500
29822126,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,16GB,16,0,64980,64920,64800,64760,64730,64990,65000,65030,64990,64980,64880,0,0,0,0,65000,65000,65000,64990,64990,65000,65000,0,0,0,0,0,0,0
29822126,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,32GB,32,0,119490,119490,119490,119500,119500,119490,119500,119500,119490,119500,119470,0,0,0,0,119500,119500,119500,119490,119490,119500,119500,0,0,0,0,0,0,0
21593129,ADATA XPG DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,92700,96820,96820,0,96820,96820,96820,96820,96820
21593129,ADATA XPG DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,52770,52770,53130,55320,55360,55370,55370,55740,55670,55670,55670,55670,55670,55670,55670,55670,55670,55670,55670,55670,55670,55680,55670,55670,0,55670,55670,55670,55670,55670
21593303,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,92700,96820,96820,0,92700,96820,92700,92700,96820
21593303,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,55800,58280,58280,0,55800,55800,55800,55800,58280
20754014,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA XPG SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,86300,86300,86300,86300,86300,86300,86300,86300,86300,86300,86300,86300,94930,94930,94930,94930,94930,0,114000,114000,114000,114000,114000,114000,0,0,0,0,0,0
20754014,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA XPG SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,65490,65410,65330,65230,65730,101400,101400,101400,101400,101400,101400,101400,101400,101400,101400,101400,0,0,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0
20754032,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA XPG SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114000,114000,114000,114000,114000
