Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30
11868160,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,32GB,32,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,87430,78000,78000,78000,78000,78000,78000,78000,0,78000,91000,90990,90980,89560,90010,90010,90010,90010,90010
11868160,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,16GB,16,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
11868160,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,8GB,8,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,22410,19900,19900,19900,19900,19900,19900,19900,0,19900,22390,22300,22270,22150,22150,22090,21970,19900,19900
12091751,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,0,0,0,0,0,0,0,0
12091751,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0,0
12091751,ADATA DDR4-3200 CL22,ADATA,DDR4,3200,CL22,8GB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19900,0,0,0,0,0,0,0,0,0,0
15592385,ADATA DDR5-4800 CL40,ADATA,DDR5,4800,CL40,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460,218460
27940799,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,32GB,32,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510,0,145510,145510,145510,145510,145510,145510,145510,145510,145510,145510
27940799,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,16GB,16,72000,72000,72000,72000,72000,72000,72000,80450,80450,80450,80450,80450,80450,80450,80450,80450,80450,80450,0,80450,80450,80450,80450,80450,80450,80450,80450,80450,80450
27940781,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145510,0,0,0,0,0,0,0,0,0,0
27940781,ADATA DDR5-5600 CL46,ADATA,DDR5,5600,CL46,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80450,0,0,0,0,0,0,0,0,0,0
51553754,ADATA DDR5-5600 CL46 PMIC락,ADATA PMIC락,DDR5,5600,CL46,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920,71920
28395059,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,32GB(16GX2),32,112560,112530,112420,112400,112380,113500,113500,113500,113500,113500,113500,116640,116640,116640,116640,116640,116640,139490,139480,139470,139410,139370,139260,0,0,0,138980,138860,138770
28395059,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,64GB(32GX2),64,237820,237800,237700,237680,237600,237560,237540,237460,237450,237830,237830,237830,237990,237990,237990,237990,238000,238000,238000,238000,238000,238000,238000,0,0,0,238000,238000,238000
46100672,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139140,139130,139100,0,0,0
46100672,ADATA DDR5-5600 CL46 패키지,ADATA 패키지,DDR5,5600,CL46,64GB(32GX2),64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238000,238000,238000,0,0,0
29822102,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,16GB,16,64950,64840,0,61430,63220,63590,63220,0,0,0,0,63560,62300,0,64200,64140,64130,63560,64220,64990,64990,64990,64980,64990,64950,64910,64870,64830,64820
29822102,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,32GB,32,118750,118690,0,117260,117260,118490,118470,0,0,0,0,118290,116020,0,118200,118190,118190,118190,118170,119490,119490,119490,119480,119490,119450,119490,119450,119390,119300
29822126,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,16GB,16,0,0,63550,0,0,0,0,64730,63190,64990,63190,0,0,63550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29822126,ADATA DDR5-5600 CL46-45-45,ADATA -45-45,DDR5,5600,CL46,32GB,32,0,0,118500,0,0,0,0,118420,118320,118310,118300,0,0,118210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21593018,ADATA XPG DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820
21593018,ADATA XPG DDR4-3200 CL16 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3200,CL16,16GB(8GX2),16,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280
21593303,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,96820,96820,96820,88000,96820,96820,96820,96820,0,0,0,0,0,0,0,0,0,0,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820
21593303,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,58280,58280,58280,58280,58280,58280,58280,58280,0,0,0,0,0,0,0,0,0,0,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280
21593336,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,96820,96820,96820,96820,96820,96820,96820,96820,96820,96820,0,0,0,0,0,0,0,0,0,0,0
21593336,ADATA XPG DDR4-3200 CL16 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,58280,58280,58280,58280,58280,58280,58280,58280,58280,58280,0,0,0,0,0,0,0,0,0,0,0
20754014,ADATA XPG DDR4-3200 CL16 SPECTRIX D35G RGB 블랙 패키지,ADATA XPG SPECTRIX D35G RGB 블랙 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,110330,110330,110330,110330,110330,110330,110330,110330,110330,110330,0,0,0
