cat,event,event_date,h,car
GPU,AI,2024-04-28,0,-0.002307602494041981
GPU,AI,2024-04-28,1,-0.001993718089830087
GPU,AI,2024-04-28,2,0.00015641047859981695
GPU,AI,2024-04-28,3,-0.0022647797887390487
GPU,AI,2024-04-28,4,0.0002503407271470092
GPU,AI,2024-04-28,5,0.001443690197079485
GPU,AI,2024-04-28,6,0.00047569931210560677
GPU,AI,2024-04-28,7,0.003387290178942474
GPU,AI,2024-04-28,8,0.00793513739497927
GPU,AI,2024-05-26,0,0.002515120515886058
GPU,AI,2024-05-26,1,0.0037084699858185334
GPU,AI,2024-05-26,2,0.002740479100844655
GPU,AI,2024-05-26,3,0.005652069967681523
GPU,AI,2024-05-26,4,0.01019991718371832
GPU,AI,2024-05-26,5,0.009998876223572243
GPU,AI,2024-05-26,6,0.006990348476897969
GPU,AI,2024-05-26,7,0.008680622399770698
GPU,AI,2024-05-26,8,0.010282067632806617
GPU,AI,2024-06-09,0,-0.0009679908849738782
GPU,AI,2024-06-09,1,0.0019435999818629888
GPU,AI,2024-06-09,2,0.006491447197899786
GPU,AI,2024-06-09,3,0.006290406237753709
GPU,AI,2024-06-09,4,0.0032818784910794365
GPU,AI,2024-06-09,5,0.004972152413952165
GPU,AI,2024-06-09,6,0.006573597646988083
GPU,AI,2024-06-09,7,0.008814808315019115
GPU,AI,2024-06-09,8,0.008300675778050918
GPU,AI,2024-06-16,0,0.002911590866836867
GPU,AI,2024-06-16,1,0.007459438082873663
GPU,AI,2024-06-16,2,0.0072583971227275865
GPU,AI,2024-06-16,3,0.004249869376053313
GPU,AI,2024-06-16,4,0.005940143298926042
GPU,AI,2024-06-16,5,0.007541588531961961
GPU,AI,2024-06-16,6,0.009782799199992993
GPU,AI,2024-06-16,7,0.009268666663024795
GPU,AI,2024-06-16,8,0.008957081672280954
GPU,AI,2024-08-18,0,-0.0006414043488384717
GPU,AI,2024-08-18,1,-0.0016315569717519557
GPU,AI,2024-08-18,2,-0.0066853970087717585
GPU,AI,2024-08-18,3,-0.0043935371321809635
GPU,AI,2024-08-18,4,-0.0025682125284783247
GPU,AI,2024-08-18,5,-0.0014745029708265796
GPU,AI,2024-08-18,6,-0.004179733547025924
GPU,AI,2024-08-18,7,-0.004427146779277899
GPU,AI,2024-08-18,8,-0.004103815601041515
GPU,AI,2024-09-15,0,0.0018253246037026388
GPU,AI,2024-09-15,1,0.002919034161354384
GPU,AI,2024-09-15,2,0.0002138035851550397
GPU,AI,2024-09-15,3,-3.360964709693526e-05
GPU,AI,2024-09-15,4,0.00028972153113944823
GPU,AI,2024-09-15,5,0.0011872656573617326
GPU,AI,2024-09-15,6,0.00019204164909934567
GPU,AI,2024-09-15,7,-0.0021686283597587637
GPU,AI,2024-09-15,8,-0.002202975288149291
GPU,AI,2025-04-13,0,0.0023087361182272063
GPU,AI,2025-04-13,1,-0.004021732166091976
