cat,term,coef,se,p,channel,window
GPU,ai_0,0.0009401829609444455,0.0006752422413381336,0.16381221231044663,AI,0
GPU,ai_12,-0.00022168867093895028,0.0005599127675168554,0.6921534949738266,AI,12
GPU,ai_38,0.0004154447446917317,0.000509104373151395,0.4144826372242615,AI,38
GPU,crypto_0,-0.0005267234393754939,0.0006018436059504505,0.381474208861203,Crypto,0
GPU,crypto_12,0.0018476225904457586,0.0014039000217304723,0.18815248803868445,Crypto,12
GPU,crypto_38,0.0005466219382757475,0.0005109004532466191,0.2846559142930358,Crypto,38
CPU,ai_0,-0.0006719754287772423,0.0004082547876497577,0.09976978638979503,AI,0
CPU,ai_12,0.0005839926141823245,0.0006391933779914735,0.3609060603582467,AI,12
CPU,ai_38,0.0014700639944911892,0.0004304297209150633,0.0006370235969572229,AI,38
CPU,crypto_0,0.0004921462268738468,0.0005518497440671553,0.37249370578421936,Crypto,0
CPU,crypto_12,-0.000627427330407589,0.00025695491596122445,0.014615056908617077,Crypto,12
CPU,crypto_38,-0.0003720386029629418,0.0004963326651975845,0.45351065719660977,Crypto,38
RAM,ai_0,0.0037966016735265823,0.003193273887688675,0.2344644345957384,AI,0
RAM,ai_12,0.00040776795815623866,0.0014141485076121815,0.7730797919210595,AI,12
RAM,ai_38,-0.0005650590181904148,0.0011259265451155453,0.615765052903388,AI,38
RAM,crypto_0,-0.0020967769174234947,0.002042709305636208,0.3046707671174229,Crypto,0
RAM,crypto_12,-0.0020694536575774597,0.0015048363265154946,0.16906888370755457,Crypto,12
RAM,crypto_38,-0.002332864257748776,0.0011950686101828661,0.050929231286940484,Crypto,38
