cat,model,r2,adj_r2,aic,bic
GPU,base,0.5418502194606769,0.5169507748661485,-699.6520099567817,-684.1422050847583
GPU,ai_only,0.5483254459512711,0.5077254860367786,-695.0469669531003,-671.7822596450652
GPU,crypto_only,0.570856297448995,0.5322815826129497,-700.0616341573357,-676.7969268493006
GPU,full,0.5811171751645532,0.5275391394297868,-696.433293676482,-665.4136839324351
CPU,base,0.071645529590328,0.021191482285454533,-732.2911263228373,-716.7813214508138
CPU,ai_only,0.13345732270007393,0.05556584608884463,-733.0435489616591,-709.778841653624
CPU,crypto_only,0.07690045314853966,-0.006074787017883665,-726.847428436495,-703.5827211284599
CPU,full,0.15186668604522024,0.04338451798123677,-729.147954623804,-698.1283448797572
RAM,base,0.5286092692819646,0.5029902078298975,-505.5575250758525,-490.04772020382904
RAM,ai_only,0.5478908931523407,0.5072518723121018,-503.6503764438644,-480.38566913582923
RAM,crypto_only,0.5439083286048684,0.5029113244345195,-502.7908884612541,-479.52618115321894
RAM,full,0.5627062034697553,0.5067732760065844,-500.91556641978013,-469.89595667573326
