group,adj_n,bridge_n,date
high,365,0,2024-03-10
low,60,0,2024-03-10
mid,295,0,2024-03-10
high,372,2,2024-03-17
low,62,0,2024-03-17
mid,298,3,2024-03-17
high,366,5,2024-03-24
low,62,1,2024-03-24
mid,298,3,2024-03-24
high,369,2,2024-03-31
low,62,0,2024-03-31
mid,298,2,2024-03-31
high,376,2,2024-04-07
low,62,1,2024-04-07
mid,304,1,2024-04-07
high,373,2,2024-04-14
low,62,1,2024-04-14
mid,302,1,2024-04-14
high,374,5,2024-04-21
low,64,1,2024-04-21
mid,295,4,2024-04-21
high,381,1,2024-04-28
low,62,2,2024-04-28
mid,304,1,2024-04-28
high,384,4,2024-05-05
low,61,1,2024-05-05
mid,298,0,2024-05-05
high,387,5,2024-05-12
low,62,0,2024-05-12
mid,295,6,2024-05-12
high,383,2,2024-05-19
low,58,0,2024-05-19
mid,296,1,2024-05-19
high,390,5,2024-05-26
low,59,2,2024-05-26
mid,292,4,2024-05-26
high,385,2,2024-06-02
low,60,0,2024-06-02
mid,290,1,2024-06-02
high,387,3,2024-06-09
low,58,1,2024-06-09
mid,288,7,2024-06-09
high,385,3,2024-06-16
low,58,4,2024-06-16
mid,293,6,2024-06-16
high,384,4,2024-06-23
low,60,1,2024-06-23
mid,297,1,2024-06-23
high,379,2,2024-06-30
low,62,1,2024-06-30
mid,304,2,2024-06-30
high,380,3,2024-07-07
low,61,0,2024-07-07
mid,304,3,2024-07-07
high,380,3,2024-07-14
low,59,2,2024-07-14
mid,308,5,2024-07-14
high,379,4,2024-07-21
low,60,1,2024-07-21
mid,308,4,2024-07-21
high,384,1,2024-07-28
low,60,1,2024-07-28
mid,308,4,2024-07-28
high,367,0,2024-08-04
low,57,0,2024-08-04
mid,305,4,2024-08-04
high,365,0,2024-08-11
low,57,0,2024-08-11
mid,316,0,2024-08-11
high,357,0,2024-08-18
low,55,0,2024-08-18
mid,307,1,2024-08-18
high,358,0,2024-08-25
low,54,1,2024-08-25
mid,304,2,2024-08-25
high,363,1,2024-09-01
low,54,0,2024-09-01
mid,308,1,2024-09-01
high,362,2,2024-09-08
low,50,0,2024-09-08
mid,309,0,2024-09-08
high,359,0,2024-09-15
low,51,1,2024-09-15
mid,314,1,2024-09-15
high,355,1,2024-09-22
low,52,0,2024-09-22
mid,319,1,2024-09-22
high,350,0,2024-09-29
low,52,0,2024-09-29
mid,316,1,2024-09-29
high,357,2,2024-10-06
low,49,1,2024-10-06
mid,318,1,2024-10-06
high,348,1,2024-10-13
low,48,1,2024-10-13
mid,317,2,2024-10-13
high,344,3,2024-10-20
low,45,1,2024-10-20
mid,316,1,2024-10-20
high,345,0,2024-10-27
low,45,0,2024-10-27
mid,318,2,2024-10-27
high,348,1,2024-11-03
low,44,0,2024-11-03
mid,324,1,2024-11-03
high,348,0,2024-11-10
low,41,1,2024-11-10
mid,322,2,2024-11-10
high,350,0,2024-11-17
low,42,0,2024-11-17
mid,324,1,2024-11-17
high,352,2,2024-11-24
low,42,0,2024-11-24
mid,323,1,2024-11-24
high,360,0,2024-12-01
low,45,1,2024-12-01
mid,315,3,2024-12-01
high,358,0,2024-12-08
low,45,0,2024-12-08
mid,314,0,2024-12-08
high,349,0,2024-12-15
low,40,0,2024-12-15
mid,310,2,2024-12-15
high,348,2,2024-12-22
low,38,1,2024-12-22
mid,300,1,2024-12-22
high,338,1,2024-12-29
low,37,1,2024-12-29
mid,299,5,2024-12-29
high,330,1,2025-01-05
low,39,2,2025-01-05
mid,293,1,2025-01-05
high,309,1,2025-01-12
low,40,0,2025-01-12
mid,292,1,2025-01-12
high,311,1,2025-01-19
low,43,2,2025-01-19
mid,284,0,2025-01-19
high,310,1,2025-01-26
low,39,0,2025-01-26
mid,273,2,2025-01-26
high,309,0,2025-02-02
low,39,0,2025-02-02
mid,274,0,2025-02-02
high,286,0,2025-02-09
low,38,0,2025-02-09
mid,259,0,2025-02-09
high,270,4,2025-02-16
low,40,1,2025-02-16
mid,258,6,2025-02-16
high,231,0,2025-02-23
low,37,0,2025-02-23
mid,256,3,2025-02-23
high,208,4,2025-03-02
low,34,0,2025-03-02
mid,244,2,2025-03-02
high,179,2,2025-03-09
low,30,0,2025-03-09
mid,222,2,2025-03-09
high,180,6,2025-03-16
low,28,0,2025-03-16
mid,220,0,2025-03-16
high,218,2,2025-03-23
low,25,0,2025-03-23
mid,263,2,2025-03-23
high,228,3,2025-03-30
low,25,0,2025-03-30
mid,269,0,2025-03-30
high,253,3,2025-04-06
low,25,1,2025-04-06
mid,277,2,2025-04-06
high,269,0,2025-04-13
low,27,0,2025-04-13
mid,287,1,2025-04-13
high,277,1,2025-04-20
low,28,0,2025-04-20
mid,287,0,2025-04-20
high,271,0,2025-04-27
low,26,0,2025-04-27
mid,296,0,2025-04-27
high,267,0,2025-05-04
low,24,0,2025-05-04
mid,331,0,2025-05-04
high,272,0,2025-05-11
low,26,0,2025-05-11
mid,338,0,2025-05-11
high,271,1,2025-05-18
low,25,0,2025-05-18
mid,348,0,2025-05-18
high,266,0,2025-05-25
low,23,0,2025-05-25
mid,345,1,2025-05-25
high,267,0,2025-06-01
low,21,0,2025-06-01
mid,373,1,2025-06-01
high,266,0,2025-06-08
low,20,0,2025-06-08
mid,390,1,2025-06-08
high,263,0,2025-06-15
low,21,0,2025-06-15
mid,388,0,2025-06-15
high,266,0,2025-06-22
low,22,0,2025-06-22
mid,411,0,2025-06-22
high,0,0,2025-06-29
low,0,0,2025-06-29
mid,0,0,2025-06-29
high,0,0,2025-07-06
low,0,0,2025-07-06
mid,0,0,2025-07-06
high,0,0,2025-07-13
low,0,0,2025-07-13
mid,0,0,2025-07-13
high,260,0,2025-07-20
low,29,0,2025-07-20
mid,404,0,2025-07-20
high,264,0,2025-07-27
low,35,0,2025-07-27
mid,406,1,2025-07-27
high,263,0,2025-08-03
low,40,0,2025-08-03
mid,407,1,2025-08-03
high,265,2,2025-08-10
low,43,1,2025-08-10
mid,405,2,2025-08-10
high,261,0,2025-08-17
low,43,1,2025-08-17
mid,398,2,2025-08-17
high,262,1,2025-08-24
low,45,0,2025-08-24
mid,402,1,2025-08-24
high,267,3,2025-08-31
low,46,1,2025-08-31
mid,410,0,2025-08-31
high,267,0,2025-09-07
low,44,0,2025-09-07
mid,415,1,2025-09-07
high,264,0,2025-09-14
low,41,0,2025-09-14
mid,413,2,2025-09-14
high,265,1,2025-09-21
low,42,1,2025-09-21
mid,414,2,2025-09-21
high,265,1,2025-09-28
low,44,1,2025-09-28
mid,412,0,2025-09-28
high,269,0,2025-10-05
low,44,2,2025-10-05
mid,410,4,2025-10-05
high,263,0,2025-10-12
low,45,0,2025-10-12
mid,412,2,2025-10-12
high,263,1,2025-10-19
low,44,0,2025-10-19
mid,412,0,2025-10-19
high,265,0,2025-10-26
low,44,0,2025-10-26
mid,413,1,2025-10-26
high,253,0,2025-11-02
low,41,1,2025-11-02
mid,412,4,2025-11-02
high,248,1,2025-11-09
low,39,0,2025-11-09
mid,419,1,2025-11-09
high,253,5,2025-11-16
low,38,2,2025-11-16
mid,426,1,2025-11-16
high,259,0,2025-11-23
low,38,1,2025-11-23
mid,428,0,2025-11-23
high,259,2,2025-11-30
low,40,0,2025-11-30
mid,423,1,2025-11-30
high,260,1,2025-12-07
low,40,0,2025-12-07
mid,417,0,2025-12-07
high,260,1,2025-12-14
low,39,0,2025-12-14
mid,416,2,2025-12-14
high,260,2,2025-12-21
low,36,0,2025-12-21
mid,422,0,2025-12-21
high,261,0,2025-12-28
low,38,0,2025-12-28
mid,417,1,2025-12-28
high,261,0,2026-01-04
low,38,0,2026-01-04
mid,406,2,2026-01-04
high,261,0,2026-01-11
low,37,0,2026-01-11
mid,409,0,2026-01-11
high,248,2,2026-01-18
low,37,1,2026-01-18
mid,401,0,2026-01-18
high,243,4,2026-01-25
low,38,1,2026-01-25
mid,399,0,2026-01-25
high,245,1,2026-02-01
low,43,0,2026-02-01
mid,366,2,2026-02-01
high,242,3,2026-02-08
low,44,0,2026-02-08
mid,371,7,2026-02-08
high,243,2,2026-02-15
low,44,0,2026-02-15
mid,369,2,2026-02-15
high,252,1,2026-02-22
low,44,2,2026-02-22
mid,367,1,2026-02-22
high,244,1,2026-03-01
low,45,1,2026-03-01
mid,365,0,2026-03-01
high,247,1,2026-03-08
low,44,1,2026-03-08
mid,371,1,2026-03-08
high,257,0,2026-03-15
low,44,0,2026-03-15
mid,376,0,2026-03-15
high,258,0,2026-03-22
low,44,0,2026-03-22
mid,374,1,2026-03-22
high,259,1,2026-03-29
low,45,0,2026-03-29
mid,375,1,2026-03-29
high,0,0,2026-04-05
low,0,0,2026-04-05
mid,0,0,2026-04-05
