cat,model,rmse,base_rmse,gain
CPU,ai,0.004608839863476699,0.004762667227192011,0.00015382736371531182
CPU,base,0.004762667227192011,0.004762667227192011,0.0
CPU,crypto,0.00537212164438356,0.004762667227192011,-0.0006094544171915493
CPU,full,0.005074635885285265,0.004762667227192011,-0.0003119686580932545
GPU,ai,0.01160889888664398,0.011661023475735048,5.212458909106821e-05
GPU,base,0.011661023475735048,0.011661023475735048,0.0
GPU,crypto,0.011530896144684229,0.011661023475735048,0.00013012733105081942
GPU,full,0.01141442981319282,0.011661023475735048,0.0002465936625422275
RAM,ai,0.032941525508899686,0.033292629661387685,0.0003511041524879993
RAM,base,0.033292629661387685,0.033292629661387685,0.0
RAM,crypto,0.03326472632914237,0.033292629661387685,2.7903332245317325e-05
RAM,full,0.03299765735306999,0.033292629661387685,0.0002949723083176953
