test,cat,n,ai_p,crypto_p,ai_pr2,crypto_pr2,ai_sens,crypto_sens,r2_win,sens_win,judgment
resid_nvda_vs_btc,GPU,98,0.7353098513729338,0.39691228844613247,0.03164537153965306,0.07455214608458037,0.0012039008958161384,0.0019370500488143478,Crypto,Crypto,Crypto
resid_nvda_vs_btc,CPU,98,0.6217990003591061,0.531370033055141,0.012970392100209484,0.006923796446612257,0.000616522607605571,0.00045552000017053064,AI,AI,AI
resid_nvda_vs_btc,RAM,98,0.28319630789432637,0.2241326665554992,0.08446944714769895,0.01716065248540658,0.006017833331916651,0.0025480259598900648,AI,AI,AI
nvda_vs_crypto_pc1,GPU,98,0.5903324091617277,0.5820159364240461,0.02401344078036354,0.05906026246261409,0.0010939066843447334,0.0018099018197045324,Crypto,Crypto,Crypto
nvda_vs_crypto_pc1,CPU,98,0.0009576394934515889,0.17166460061421868,0.07885060479647521,0.026808879299007476,0.001649058012323665,0.0009584842590514084,AI,AI,AI
nvda_vs_crypto_pc1,RAM,98,0.6146619331608587,0.06138966446907412,0.039654339361436,0.040606699180579645,0.0038633723839946853,0.004209578655092442,Crypto,Crypto,Crypto
nvda_vs_btc_fxadj,GPU,98,0.5693080958494758,0.5521692573465701,0.023694733220708575,0.06541692273125754,0.0010684324648581975,0.001898883828247091,Crypto,Crypto,Crypto
nvda_vs_btc_fxadj,CPU,98,0.0004056345342653341,0.06331285629172322,0.08138162583954031,0.02401238529622348,0.0017137000338150713,0.0009402357459047952,AI,AI,AI
nvda_vs_btc_fxadj,RAM,98,0.5674023544975095,0.07302399401623065,0.04248924677703918,0.032507654874024586,0.00393764053576345,0.0037739654489822244,AI,AI,AI
resid_nvda_vs_crypto_pc1,GPU,98,0.7419834472988741,0.48048840900388723,0.03059401252699398,0.059921605823437564,0.0011873924296373717,0.0017530401785473384,Crypto,Crypto,Crypto
resid_nvda_vs_crypto_pc1,CPU,98,0.5869563174930823,0.5292044338035091,0.014398093194801294,0.016524794582396803,0.0006782589945961844,0.0006942171259871573,Crypto,Crypto,Crypto
resid_nvda_vs_crypto_pc1,RAM,98,0.26508869300439086,0.08901490447636123,0.08073316340420837,0.022736896461269474,0.005956918780099567,0.0029316929463951338,AI,AI,AI
