,corr_8w,beta_8w,corr_12w,beta_12w,corr_24w,beta_24w
2024-03-10,,,,,,
2024-03-17,,,,,,
2024-03-24,,,,,,
2024-03-31,,,,,,
2024-04-07,,,,,,
2024-04-14,,,,,,
2024-04-21,,,,,,
2024-04-28,0.0038685309290819783,0.0001034010381551852,,,,
2024-05-05,0.03650108769403359,0.0010809850833366926,,,,
2024-05-12,-0.24511650276918398,-0.006292069119215399,,,,
2024-05-19,-0.22899212208633454,-0.005731104853861189,,,,
2024-05-26,-0.6771475948537615,-0.01847407998116111,-0.1310880776147076,-0.003975562978185862,,
2024-06-02,-0.5920659498398781,-0.018003841667871827,-0.2129644000108949,-0.007031724247181437,,
2024-06-09,-0.6488712338312685,-0.0209764627454447,-0.45031339471134785,-0.01384523336270503,,
2024-06-16,-0.43603490127552835,-0.008900673891068783,-0.30593325505471997,-0.008671378523855274,,
2024-06-23,-0.5193792712820909,-0.01449178232061342,-0.6171870644509986,-0.020341778469709,,
2024-06-30,-0.6278872643715462,-0.017789716476894382,-0.6178477568395003,-0.019412364633272908,,
2024-07-07,-0.39654785874057297,-0.011297110979605713,-0.48301891200788394,-0.01654252164297102,,
2024-07-14,-0.39379421948695437,-0.013506007617826044,-0.3448353195826682,-0.010441247853992867,,
2024-07-21,0.05046235783469288,0.0012163136259161931,-0.07549459370115937,-0.0016676688473870782,,
2024-07-28,0.1082779052298045,0.00307127629202265,-0.03728427137637961,-0.0010644802998805848,,
2024-08-04,0.05967961025516134,0.0015169330351071655,-0.19309983760499355,-0.005553863980391297,,
2024-08-11,0.05422072344185273,0.001251132684199612,-0.17150583973626782,-0.004612142992792629,,
2024-08-18,0.06778520997684895,0.001521768357557038,-0.06384355226275176,-0.0017931983245608604,-0.053206280671047906,-0.0015273157128075803
2024-08-25,0.08389413316838808,0.0019441910991266958,-0.018002979949256613,-0.0004745300401239927,-0.11092906280721848,-0.003214684782221798
2024-09-01,0.09490633188832451,0.002776004008145596,0.15168807220799377,0.004882475451247642,-0.10931802051598417,-0.003413835370623618
2024-09-08,0.1407780917233914,0.0040385442658135455,0.16387146558222265,0.005217558959926189,-0.04315546388187022,-0.0013061548477545325
2024-09-15,0.2541869073157124,0.010553613017831892,0.21400039518821842,0.006462803755792093,-0.07410192552592956,-0.002324561244630896
2024-09-22,0.30354718708555367,0.011215573050445658,0.29089845061548425,0.009168963660320821,-0.004938227138286548,-0.00015813631090536996
2024-09-29,0.504936984718804,0.017968434943786887,0.19972642033477167,0.005593208046598501,-0.009091957696726587,-0.0002874097829714763
2024-10-06,0.7423548437086263,0.03329361229536573,0.2456382802797185,0.0070478884954813725,0.0908843514650433,0.00280621539998675
2024-10-13,0.7310957062922748,0.032768980491344586,0.30311359497582807,0.011548110607736096,0.09350467479654923,0.002877473524194736
2024-10-20,0.5566099096583372,0.01776213580551103,0.1702044534060582,0.004901618441600379,0.06343538646451818,0.0018258366910702054
2024-10-27,0.4623794318523057,0.009882028116494534,0.38734729220874564,0.011090094490306991,0.0655133037385463,0.0018791704416525254
2024-11-03,0.3684275358235827,0.010178195669120408,0.48854277149717323,0.016545243955413836,0.06865812148784813,0.0019705237992928924
2024-11-10,0.4163180293887807,0.010863361068042735,0.5280235473839212,0.017308386088156415,0.14295430607024034,0.004073236806291904
2024-11-17,0.46770077313413483,0.003949578222927589,0.4087910753377962,0.008663295904218724,0.09423644827629767,0.002134655542855494
2024-11-24,0.23812132216400925,0.0055933517418407,0.2521591735034384,0.0058153646293565165,0.18174980834113585,0.00441877018879647
2024-12-01,-0.037503991788628926,-0.0009399219072970527,0.11165406560808945,0.0028456871434366098,0.15719458196580216,0.0039005023690404134
2024-12-08,-0.1266544883885107,-0.003179736234377887,0.11590906908710755,0.0029449421450148173,0.18571053760433198,0.0045933698754077636
2024-12-15,-0.17417345177070354,-0.007388107843913545,0.005465051761980875,0.00021299838331183369,0.1670087199856659,0.005447003511803951
2024-12-22,-0.4037094664314959,-0.017955749855023878,-0.09551027518451705,-0.004075569730753585,0.0699213184590649,0.002417022288373518
2024-12-29,-0.4934038045401665,-0.017596255790394477,-0.30648070747175704,-0.013068143763294638,0.025804749970258976,0.0009094940445141586
2025-01-05,-0.5152379816111293,-0.019259683390964392,-0.4227349665660679,-0.01951466740334877,0.02500833365370029,0.0010462991007263145
2025-01-12,-0.25989998740864795,-0.035464683989877066,-0.39677365318829105,-0.03006515053410679,-0.04901977026554715,-0.003049041007856168
2025-01-19,-0.2985626484102842,-0.04984930110507117,-0.466364082627036,-0.034427514387481435,-0.03689476137145553,-0.00241839325050104
2025-01-26,-0.43255884230540126,-0.0709139067478202,-0.48888035890834036,-0.03372725974915407,-0.0801986693775476,-0.005812924507936566
2025-02-02,0.028442914992992695,0.00569721959915691,-0.3155707269909539,-0.02291733848936821,-0.053571260533533775,-0.003919340479548816
2025-02-09,-0.171583535789386,-0.030825960348348076,-0.22229583687925422,-0.02880440479151358,-0.13381562539284683,-0.010022191564777076
2025-02-16,-0.18909797220798882,-0.039678893128240134,-0.2744925932382603,-0.049938278714626166,-0.2618309150805508,-0.022119316692242555
2025-02-23,-0.292142882627914,-0.06318087821571035,-0.31987421039203673,-0.05599654777768115,-0.3518290305531956,-0.03090267077465303
2025-03-02,-0.0751746727834078,-0.010192890569972649,-0.04646609977613494,-0.005872367882948229,-0.3480689723642856,-0.02761839893133285
2025-03-09,-0.1494578932615533,-0.01708918587811261,-0.06308084961632404,-0.008799018413039927,-0.33664435693645595,-0.02673976008129676
2025-03-16,0.16234763787127085,0.029841490427679435,0.15707496086965966,0.02715222397752036,-0.18069687528115605,-0.015384273553908425
2025-03-23,-0.2167498965577828,-0.0443288281744564,-0.06462489474561876,-0.012212777094819684,-0.2240817092089801,-0.020913569345110024
2025-03-30,-0.30462177137554997,-0.06057041041146147,-0.15156947390457437,-0.029850960652985592,-0.21839087994480957,-0.021125906623043256
2025-04-06,-0.18378059386486742,-0.036530366883167874,-0.11095966765984061,-0.019668306853503324,-0.12416894248022582,-0.01301750506708249
2025-04-13,-0.3655293998249804,-0.05207028869503851,-0.14969052054322043,-0.029943546119690467,-0.09732728959664999,-0.010202302814132376
2025-04-20,-0.5715768073475508,-0.06253145007749099,-0.3038840470529971,-0.06191964573743888,-0.09088940231846479,-0.009913699083310608
2025-04-27,0.13872108969086877,0.008738638945269439,-0.2806863587284241,-0.03912419925020241,-0.13050747253907144,-0.01375935656706595
2025-05-04,0.40920408674388303,0.015188068196490451,-0.2397874616219563,-0.03210974406985382,-0.11658736121279001,-0.017378108896164052
2025-05-11,0.2245147677335732,0.008634322814031974,-0.33524199200143806,-0.03145039908261166,-0.18611535656525352,-0.029804481932300963
2025-05-18,0.2423613645269839,0.007996670740828792,-0.3993329832714348,-0.029480159642992027,-0.2267520821414688,-0.036523357835079165
2025-05-25,0.2091018218853691,0.007742650613464964,0.05844171353117168,0.003727436308187001,-0.23623836735355108,-0.039150681573803456
2025-06-01,0.3093539414557221,0.015324340954586091,0.36509041987756474,0.01620454747224171,-0.23852722905206983,-0.040578915514906326
2025-06-08,0.6344114817395036,0.02849905360154979,0.2680927879706307,0.012130032492631851,-0.21363169671330412,-0.03611378177888406
2025-06-15,0.6167708373725352,0.028259493676534877,0.3530592362814586,0.014978876546587487,-0.21213136249956435,-0.03598852307458735
2025-06-22,0.36249272227925944,0.02028208897590726,0.39110755568673095,0.016235595195178636,-0.1917810269920469,-0.03188756076596185
2025-07-20,0.5503566065020374,0.03815848120506104,0.4395556893146322,0.022407284444389983,-0.18917640475486286,-0.02649909512852532
2025-07-27,0.6382379681324032,0.046259948575845485,0.6457374039587281,0.03373495466507363,-0.22531074639773266,-0.03214319259135358
2025-08-03,0.6789557778566596,0.057276519421411515,0.49038683164225,0.02608494713140505,-0.26117215826473705,-0.03609220837051083
2025-08-10,0.6445921328576084,0.05385637227252449,0.36568165376135364,0.02656941982743107,-0.26143174312906237,-0.03630018064595802
2025-08-17,0.6607722485755975,0.06117369685715214,0.39295889519284927,0.03614774531759741,-0.1721966311363317,-0.022409848536910703
2025-08-24,0.41994629325256905,0.03539278636289261,0.31500799032706195,0.02758001754682165,-0.1859295293749861,-0.017395465899643064
2025-08-31,0.4879166099772458,0.03905248387888279,0.470213580727869,0.040971726558735565,-0.17344831746196113,-0.013290132687965344
2025-09-07,0.43378224798253695,0.03210750747030658,0.46339541973526344,0.042555845606791314,0.1605748655502166,0.011413583331232857
2025-09-14,0.42967363652285223,0.03591001664048497,0.5292180911490729,0.04026843357631593,0.27000770477926594,0.016906532034082294
2025-09-21,0.5932580848764127,0.037713229817960374,0.49814723347242434,0.03879885750937722,0.20126872871672818,0.01349727504159435
