term,coef,se,t,p_value,block,base_group
const,0.0008298243208435369,0.0006139377985659063,1.3516423370281463,0.1764897597318139,chip_main_no_trim,mid
is_high,-0.0002592829026455138,0.0006645335898159204,-0.3901727566808724,0.6964088053769517,chip_main_no_trim,mid
is_low,0.0010935532884795338,0.0011744813928851255,0.9310946049074554,0.3518046291396215,chip_main_no_trim,mid
btc_krw_ret_l0,-0.03174039314508542,0.023343944810925773,-1.3596842094241852,0.17392987715001262,chip_main_no_trim,mid
btc_krw_ret_l1,0.029179532078786655,0.020557284250398888,1.4194254320446273,0.15577502226946613,chip_main_no_trim,mid
btc_krw_ret_l2,0.02902911304592549,0.02160452716100287,1.343658800287207,0.17905874581556191,chip_main_no_trim,mid
btc_krw_ret_l3,-0.01832123760558957,0.012996531540359785,-1.4097020846442219,0.15862766893885327,chip_main_no_trim,mid
btc_krw_ret_l4,0.010051792701303876,0.02022961180769457,0.4968851007551494,0.619270078803093,chip_main_no_trim,mid
btc_krw_ret_l5,0.008894837941241938,0.015336847032432427,0.5799652250838949,0.561938068842138,chip_main_no_trim,mid
btc_krw_ret_l6,-0.025815885844189472,0.01586233592088358,-1.6274958475820407,0.10363182980442995,chip_main_no_trim,mid
btc_krw_ret_l7,0.02471714051282243,0.014652221883405476,1.6869209809616712,0.09161854715812397,chip_main_no_trim,mid
btc_krw_ret_l8,0.01841099215918718,0.022487973963165844,0.818703907668314,0.41295536661298216,chip_main_no_trim,mid
high_btc_l0,0.021573170690958748,0.01717987998917592,1.2557230146282043,0.2092164119682638,chip_main_no_trim,mid
high_btc_l1,-0.01795349239752203,0.01419771735513053,-1.2645337238689502,0.2060385242508922,chip_main_no_trim,mid
high_btc_l2,0.00890548043185337,0.01900900989219786,0.4684873374445753,0.6394361241611204,chip_main_no_trim,mid
high_btc_l3,0.001208867128497524,0.012014782766296436,0.1006149800634438,0.9198561046835092,chip_main_no_trim,mid
high_btc_l4,0.0009205715984660044,0.013679838949402699,0.0672940377347205,0.9463476233296814,chip_main_no_trim,mid
high_btc_l5,0.005626419502952784,0.017718161326955473,0.3175509805519745,0.7508255626056238,chip_main_no_trim,mid
high_btc_l6,0.00672533162549474,0.01219636797032351,0.5514208526553951,0.5813452092196029,chip_main_no_trim,mid
high_btc_l7,-0.009251775622221778,0.015354840083260128,-0.6025315517488248,0.546820367332028,chip_main_no_trim,mid
high_btc_l8,-0.013049710325933675,0.01872705923549648,-0.6968371361371255,0.48590472271375207,chip_main_no_trim,mid
low_btc_l0,0.028554453493449625,0.0194984116311399,1.4644502349025594,0.14307097095749544,chip_main_no_trim,mid
low_btc_l1,-0.030895074001042154,0.023052920743377232,-1.3401804632464134,0.18018668159654105,chip_main_no_trim,mid
low_btc_l2,0.019766563623271984,0.02627368082690304,0.7523332476137844,0.4518506784743863,chip_main_no_trim,mid
low_btc_l3,-0.015431133606867056,0.017899624070630928,-0.8620926085361712,0.38863655849281786,chip_main_no_trim,mid
low_btc_l4,0.004619292603135972,0.02553724329703424,0.18088454377816232,0.8564582010057987,chip_main_no_trim,mid
low_btc_l5,-0.01551819544488546,0.02523967412411182,-0.6148334312312181,0.5386647287032046,chip_main_no_trim,mid
low_btc_l6,0.018993583487060622,0.023772574495396624,0.7989704056133501,0.4243075723953751,chip_main_no_trim,mid
low_btc_l7,-0.007038678127468518,0.02303570412592876,-0.30555515425056406,0.759943369998157,chip_main_no_trim,mid
low_btc_l8,0.0027627520789628296,0.019661949172728285,0.1405126243940682,0.8882549786208817,chip_main_no_trim,mid
fx_ret,-0.07853455183992258,0.14458799693165947,-0.5431609366373786,0.5870189997290878,chip_main_no_trim,mid
nvda_ret,0.01636182401787092,0.015113066013194577,1.0826277079439808,0.2789737035967632,chip_main_no_trim,mid
high_fx_ret,0.1519645751877357,0.09457529808074963,1.6068104280040054,0.10809596000393287,chip_main_no_trim,mid
low_fx_ret,-0.2089121762020621,0.12849696123490761,-1.6258141375043569,0.1039891999500105,chip_main_no_trim,mid
high_nvda_ret,0.011522211682849198,0.013915369924744719,0.8280205086290997,0.4076588853998009,chip_main_no_trim,mid
low_nvda_ret,0.008172086597793147,0.0204606429579926,0.399405170921125,0.6895946844550898,chip_main_no_trim,mid
gpu_ret_l1,0.6006719878799507,0.17504973734694015,3.4314360991553374,0.000600394560997542,chip_main_no_trim,mid
