term,coef,se,t,p_value,base_group
btc_krw_ret_l0,-0.09119551285673688,0.0377231719173242,-2.4174932335118866,0.015627824551599258,mid
btc_krw_ret_l1,0.0031134752849999313,0.03340500067019762,0.09320386835907561,0.9257416012630929,mid
btc_krw_ret_l2,0.03175554544472493,0.035750303934110605,0.8882594537728072,0.37440120451722014,mid
btc_krw_ret_l3,-0.011473227894483169,0.017353415315497882,-0.6611510003011758,0.5085154813184876,mid
btc_krw_ret_l4,0.021102204245433468,0.01916288736156469,1.1012017055299554,0.2708088795939677,mid
btc_krw_ret_l5,0.012810811320127917,0.023859805517376886,0.5369201903510034,0.5913227438306701,mid
btc_krw_ret_l6,-0.019591472994933103,0.025361533330869192,-0.7724877174948658,0.43982561875287174,mid
btc_krw_ret_l7,0.017580870430717203,0.02157566025463664,0.8148473892908583,0.4151596710538079,mid
btc_krw_ret_l8,0.020760798205342695,0.035972640717086966,0.5771274443991914,0.5638533660126893,mid
high_btc_l0,0.031473827157088394,0.017811716499015137,1.767029424639039,0.0772233006104911,mid
high_btc_l1,-0.0036437936138296726,0.018014635741067826,-0.20226851467903648,0.8397068128728469,mid
high_btc_l2,0.0041015989532566174,0.02006612577830283,0.20440412855836917,0.838037704171831,mid
high_btc_l3,0.0040100993327417045,0.015818946023689304,0.2534997797411073,0.7998820313489966,mid
high_btc_l4,-0.001423870744872901,0.015543577741654007,-0.09160508401210503,0.927011811979923,mid
high_btc_l5,0.0033708557134073053,0.020083608642819557,0.16784113718589508,0.8667082587399573,mid
high_btc_l6,-0.0025261037498959657,0.018730130329640996,-0.13486845555464877,0.8927158804577001,mid
high_btc_l7,-0.005050505276482275,0.013988054612432105,-0.3610584471119778,0.7180557552943494,mid
high_btc_l8,0.007824069011848497,0.02035864590643991,0.38431185687912395,0.700747321012857,mid
low_btc_l0,0.03775154307659491,0.03919442492584796,0.9631865539044687,0.33545391164598504,mid
low_btc_l1,0.02009938083899297,0.027105648181093414,0.7415200221263324,0.4583781963601552,mid
low_btc_l2,0.0060023356424982535,0.033416424482684455,0.17962231852807928,0.857449082006575,mid
low_btc_l3,0.03926147097161772,0.0252964885046589,1.5520522132701091,0.12064973080402337,mid
low_btc_l4,-0.00325679589105988,0.02660916300784675,-0.12239377428367389,0.9025871688449439,mid
low_btc_l5,-0.005149606441423204,0.0251500832448089,-0.20475504559159294,0.8377635112201801,mid
low_btc_l6,0.007123553179189871,0.026821415109423853,0.26559199617647955,0.7905534504069156,mid
low_btc_l7,0.010314883914733267,0.03165342991023398,0.32586939058374603,0.7445231754484503,mid
low_btc_l8,0.024564159959911652,0.02925554414315066,0.8396411921007677,0.4011095959848483,mid
fx_ret,-0.09777366758541221,0.2647783047950484,-0.36926615895170833,0.7119293470864756,mid
nvda_ret,0.0003735288824751044,0.021184668166412797,0.017632038394036084,0.9859323977036395,mid
high_fx_ret,0.05572613843001372,0.10761060472289136,0.5178498770963549,0.6045630154846862,mid
low_fx_ret,-0.4344727776079225,0.2841259875682786,-1.529155362824789,0.12622593335675664,mid
high_nvda_ret,0.007427654874140443,0.016740120451918045,0.44370378907813646,0.6572567556411096,mid
low_nvda_ret,-0.0030476953242831307,0.02295710601919687,-0.13275607656011298,0.8943862926227619,mid
