regime_type,regime,group,n,corr_l0,simple_beta_l0
time_regime,early,high,48,-0.03008854663016057,-0.004216587994044113
time_regime,early,low,48,0.1300429246628882,0.009328086873181752
time_regime,early,mid,48,-0.11717949557052493,-0.006484886998728157
time_regime,late,high,49,-0.29522230098921304,-0.08084305471467078
time_regime,late,low,49,-0.3457776895391621,-0.10128032637936517
time_regime,late,mid,49,-0.3452015979902064,-0.10250416305156926
btc_vol_regime,high_btc_vol,high,43,-0.20350666094335204,-0.017599668371128408
btc_vol_regime,high_btc_vol,low,43,-0.07130019957524976,-0.005280700481234817
btc_vol_regime,high_btc_vol,mid,43,-0.2318069490173747,-0.018301515443116426
btc_vol_regime,low_btc_vol,high,43,-0.24034776039855715,-0.09262919861969361
btc_vol_regime,low_btc_vol,low,43,-0.3564577497210811,-0.1329598160888461
btc_vol_regime,low_btc_vol,mid,43,-0.34404058530764897,-0.1270549985909201
