block,metric,estimate,p_value,interpretation_target
chip_main,One_way_ANOVA,0.4848141812111115,0.6162747515006894,"group mean return difference, exploratory only"
chip_main,Welch_ANOVA,0.4771513780711605,0.6212263581825564,"group mean return difference, exploratory only"
vram_proxy,One_way_ANOVA,0.25420381707244355,0.7756941851662693,"group mean return difference, exploratory only"
vram_proxy,Welch_ANOVA,0.33436802412689653,0.7162799864431444,"group mean return difference, exploratory only"
chip_main,high_vs_mid_BTC_lags_joint_zero,0.6553282460133758,0.7469435132504505,joint significance of BTC sensitivity difference
chip_main,low_vs_mid_BTC_lags_joint_zero,1.0148402325577242,0.4338147857383556,joint significance of BTC sensitivity difference
chip_main,high_vs_low_BTC_lags_joint_zero,0.45585482446349634,0.9004261525270945,joint significance of BTC sensitivity difference
chip_main,all_group_BTC_interactions_joint_zero,0.8812083961423244,0.6017595094334867,joint significance of BTC sensitivity difference
vram_proxy,high_vs_mid_BTC_lags_joint_zero,0.6264579405209928,0.7718832348693943,joint significance of BTC sensitivity difference
vram_proxy,low_vs_mid_BTC_lags_joint_zero,2.481597248320261,0.013604170655367518,joint significance of BTC sensitivity difference
vram_proxy,high_vs_low_BTC_lags_joint_zero,0.9757009590849167,0.46504352163143203,joint significance of BTC sensitivity difference
vram_proxy,all_group_BTC_interactions_joint_zero,1.6514423934409168,0.06248933426118426,joint significance of BTC sensitivity difference
chip_main_no_trim,high_vs_mid_BTC_lags_joint_zero,0.3996249498433738,0.9324456013619266,joint significance of BTC sensitivity difference
chip_main_no_trim,low_vs_mid_BTC_lags_joint_zero,0.7031427297546077,0.7045825687671313,joint significance of BTC sensitivity difference
chip_main_no_trim,high_vs_low_BTC_lags_joint_zero,0.41950687305131606,0.9218375568955547,joint significance of BTC sensitivity difference
chip_main_no_trim,all_group_BTC_interactions_joint_zero,0.6336312533150442,0.8646531567621915,joint significance of BTC sensitivity difference
chip_main_composition_control,high_vs_mid_BTC_lags_joint_zero,0.6387416126510387,0.761344443570993,joint significance of BTC sensitivity difference
chip_main_composition_control,low_vs_mid_BTC_lags_joint_zero,0.8802463085431399,0.5457339588493209,joint significance of BTC sensitivity difference
chip_main_composition_control,high_vs_low_BTC_lags_joint_zero,0.43407389767390936,0.9135628388937201,joint significance of BTC sensitivity difference
chip_main_composition_control,all_group_BTC_interactions_joint_zero,0.7019609525556676,0.8013770768393988,joint significance of BTC sensitivity difference
chip_main_lag_window,window_high_vs_mid_BTC_joint_zero,1.0673433625535182,0.37701268217065553,joint significance of BTC sensitivity difference
chip_main_lag_window,window_low_vs_mid_BTC_joint_zero,0.43166082375340553,0.7854419537887677,joint significance of BTC sensitivity difference
chip_main_lag_window,window_high_vs_low_BTC_joint_zero,0.7936240633980916,0.5321620458200145,joint significance of BTC sensitivity difference
chip_main_lag_window,window_all_group_BTC_interactions_joint_zero,0.7849456844457816,0.6169932482816083,joint significance of BTC sensitivity difference
product_FE,high_vs_mid_BTC_lags_joint_zero,0.7452811737749473,0.6666140185581866,joint significance of BTC sensitivity difference
product_FE,low_vs_mid_BTC_lags_joint_zero,0.8606910305616629,0.5629090111486884,joint significance of BTC sensitivity difference
product_FE,high_vs_low_BTC_lags_joint_zero,0.37341302468305115,0.9451841284421604,joint significance of BTC sensitivity difference
product_FE,all_group_BTC_interactions_joint_zero,1.0512773011025978,0.4126315949843065,joint significance of BTC sensitivity difference
