block,variable,VIF
chip_lag_full,const,1.0767251470387764
chip_lag_full,btc_krw_ret_l0,1.4072854786388018
chip_lag_full,btc_krw_ret_l1,1.3951284521369522
chip_lag_full,btc_krw_ret_l2,1.4370860774773826
chip_lag_full,btc_krw_ret_l3,1.386272375178197
chip_lag_full,btc_krw_ret_l4,1.419651159049476
chip_lag_full,btc_krw_ret_l5,1.2729154741080948
chip_lag_full,btc_krw_ret_l6,1.26011836699846
chip_lag_full,btc_krw_ret_l7,1.2758118913272285
chip_lag_full,btc_krw_ret_l8,1.214593948013919
chip_lag_full,fx_ret,1.0897369555487881
chip_lag_full,nvda_ret,1.2461929070420799
chip_lag_full,gpu_ret_l1,1.21444907889231
