hw,factor,x,ctrl,n,coef,se,t,p,r2,pr2,max_vif,start,struct_na,mcar_na,model
GPU,BTC,btc_ret_z,"fx_ret_z, soxx_ret_z",105,-0.0025805103697910327,0.0015431778864508153,-1.6722053837396533,0.09448382923693438,0.07986211230304074,0.06709739041977222,1.103726539010572,2024-03-10,1,4,gpu_ret ~ btc_ret_z + fx_ret_z + soxx_ret_z
GPU,SOXX,soxx_ret_z,"fx_ret_z, btc_ret_z",105,0.0009413161501868921,0.0006908866692075326,1.3624754856923342,0.17304787546856804,0.07986211230304074,0.010278755053396598,1.1037265390105722,2024-03-10,1,4,gpu_ret ~ soxx_ret_z + fx_ret_z + btc_ret_z
GPU,Oil,oil_ret_z,"fx_ret_z, btc_ret_z, soxx_ret_z",105,0.0006816908502224066,0.0015337327095687897,0.4444652226358689,0.6567062671660765,0.08477224462887467,0.005336300560477566,1.1563277537690813,2024-03-10,1,4,gpu_ret ~ oil_ret_z + fx_ret_z + btc_ret_z + soxx_ret_z
GPU,CSI,csi_chg_z,"fx_ret_z, btc_ret_z, soxx_ret_z, oil_ret_z",105,-0.0002805472469052801,0.0007374342026026761,-0.38043698802567855,0.7036210624910781,0.08564882984115807,0.00095777822202075,1.1940383957329226,2024-03-10,1,4,gpu_ret ~ csi_chg_z + fx_ret_z + btc_ret_z + soxx_ret_z + oil_ret_z
CPU,BTC,btc_ret_z,"fx_ret_z, soxx_ret_z",105,0.0002094034917560036,0.00048034951250123175,0.4359398444387234,0.662880375396754,0.010482584117556426,0.001205885903419277,1.103726539010572,2024-03-10,1,4,cpu_ret ~ btc_ret_z + fx_ret_z + soxx_ret_z
CPU,SOXX,soxx_ret_z,"fx_ret_z, btc_ret_z",105,-6.313078692610929e-05,0.000421725091449341,-0.1496965397746384,0.8810040382782668,0.010482584117556426,0.00011906705108565062,1.1037265390105722,2024-03-10,1,4,cpu_ret ~ soxx_ret_z + fx_ret_z + btc_ret_z
CPU,Oil,oil_ret_z,"fx_ret_z, btc_ret_z, soxx_ret_z",105,0.0005026614390236758,0.0005250608035068968,0.9573394846204192,0.3383959320628259,0.01780145754991158,0.007396406889744577,1.1563277537690813,2024-03-10,1,4,cpu_ret ~ oil_ret_z + fx_ret_z + btc_ret_z + soxx_ret_z
CPU,CSI,csi_chg_z,"fx_ret_z, btc_ret_z, soxx_ret_z, oil_ret_z",105,-0.00011098135236217724,0.0006580848290414993,-0.16864292787879887,0.8660775125651674,0.018177517403469068,0.0003828755972488083,1.1940383957329226,2024-03-10,1,4,cpu_ret ~ csi_chg_z + fx_ret_z + btc_ret_z + soxx_ret_z + oil_ret_z
RAM,BTC,btc_ret_z,"fx_ret_z, soxx_ret_z",105,-0.0035708050320459035,0.0027817990317503,-1.283631560472276,0.19927090142746973,0.027634419782789355,0.018031269173205987,1.103726539010572,2024-03-10,1,4,ram_ret ~ btc_ret_z + fx_ret_z + soxx_ret_z
RAM,SOXX,soxx_ret_z,"fx_ret_z, btc_ret_z",105,0.003393071293303302,0.0017458506517390481,1.9435060438436995,0.05195504585240138,0.027634419782789466,0.017674064741375502,1.1037265390105722,2024-03-10,1,4,ram_ret ~ soxx_ret_z + fx_ret_z + btc_ret_z
RAM,Oil,oil_ret_z,"fx_ret_z, btc_ret_z, soxx_ret_z",105,-0.000538412977713562,0.0018141488559352522,-0.29678544621741787,0.7666303173707888,0.028066002680215085,0.00044384839015930834,1.1563277537690813,2024-03-10,1,4,ram_ret ~ oil_ret_z + fx_ret_z + btc_ret_z + soxx_ret_z
RAM,CSI,csi_chg_z,"fx_ret_z, btc_ret_z, soxx_ret_z, oil_ret_z",105,-0.0007514971661410682,0.0025253019291927256,-0.2975870558105116,0.7660183551886321,0.028952243466059846,0.0009118322728587202,1.1940383957329226,2024-03-10,1,4,ram_ret ~ csi_chg_z + fx_ret_z + btc_ret_z + soxx_ret_z + oil_ret_z
