pair,lag,n,coef,se,t,p,q,r2,pr2,max_vif,dw,lb_p,bp_p,dir_acc,dir,keep,model
BTC-GPU,1,105,-0.0010754149399485062,0.0011356932271469687,-0.946923794421236,0.34367761210916214,0.6453617973235158,0.02109694594901501,0.01270869780884938,1.123747404939576,0.6258056031624022,1.3321158658940842e-13,0.46025724570343285,0.5047619047619047,down,False,gpu_ret ~ btc_l1 + fx_l1 + soxx_l1
BTC-GPU,2,104,-5.852796036947969e-05,0.0003976916854245681,-0.1471691828482568,0.8829984842302181,0.9203078559728158,0.021623337242345886,3.748724876995522e-05,1.1267282431847128,0.6173854406955214,1.2791465209198478e-14,0.3283183366854716,0.5096153846153846,down,False,gpu_ret ~ btc_l2 + fx_l2 + soxx_l2
BTC-GPU,3,103,-0.00023687199480441342,0.0003749367417496382,-0.6317652244457368,0.5275403005283636,0.6615707395031429,0.01357842301616996,0.0005938264766158134,1.1353966186503366,0.6107025948905801,2.6223217237902674e-14,0.706743958151371,0.4563106796116505,down,False,gpu_ret ~ btc_l3 + fx_l3 + soxx_l3
BTC-GPU,4,102,0.0003048442669908108,0.0004944290853712473,0.6165581192739,0.5375262258463036,0.6615707395031429,0.00872730541424549,0.0009811643379593641,1.1258263595722258,0.5862697505747075,1.230779152424607e-14,0.6104056946286649,0.45098039215686275,up,False,gpu_ret ~ btc_l4 + fx_l4 + soxx_l4
BTC-GPU,5,101,0.0005368368829227315,0.0005901685575594598,0.9096331481004812,0.36301601099447767,0.6453617973235158,0.01591560974856776,0.0030494266226975555,1.130221414859141,0.5608644145478073,1.4961523128752044e-15,0.3425538570729518,0.5346534653465347,up,False,gpu_ret ~ btc_l5 + fx_l5 + soxx_l5
BTC-GPU,6,100,0.00043306570312811514,0.0005717587062009388,0.7574273875174165,0.4487938532289475,0.6615707395031429,0.008821695349321534,0.001975880691342634,1.1275756048491588,0.5641693983323989,1.7850843555406347e-14,0.9858969225964731,0.55,up,False,gpu_ret ~ btc_l6 + fx_l6 + soxx_l6
BTC-GPU,7,99,6.215519204156797e-05,0.0006212665296907553,0.10004593692260653,0.9203078559728158,0.9203078559728158,0.0017588424560063265,3.9300635708474136e-05,1.1281611164182985,0.5903731992930745,3.9899724562100937e-14,0.9922304503791465,0.43434343434343436,up,False,gpu_ret ~ btc_l7 + fx_l7 + soxx_l7
BTC-GPU,8,98,0.00010669188880940011,0.0007310145403367323,0.14595043316136214,0.8839605179131917,0.9203078559728158,0.024024619282847715,0.00011425659678346767,1.1461499032705085,0.6236026644478794,3.031998876685133e-13,0.5007155874028906,0.5714285714285714,up,False,gpu_ret ~ btc_l8 + fx_l8 + soxx_l8
SOXX-RAM,1,105,0.0031848086866159042,0.0020492990119993187,1.5540966291243021,0.12016136916441254,0.4372793884658008,0.03624918762452012,0.015649044055872308,1.123747404939576,0.6675978884937952,7.646509905411217e-22,0.3882627214277301,0.5428571428571428,up,False,ram_ret ~ soxx_l1 + fx_l1 + btc_l1
SOXX-RAM,2,104,0.0033940648075740636,0.0027279464322192324,1.244183084934308,0.21343218773338468,0.4878450005334507,0.02995727985184904,0.01758838058436514,1.1267282431847128,0.6535195746373035,4.351661612144963e-22,0.21638957496590594,0.5480769230769231,up,False,ram_ret ~ soxx_l2 + fx_l2 + btc_l2
SOXX-RAM,3,103,0.003205229402414569,0.0019449563330465323,1.6479698530783855,0.09935885765159154,0.4372793884658008,0.021392199171691106,0.015450525940792595,1.135396618650337,0.6679012042105141,3.8174837014451283e-22,0.5781177468479752,0.5145631067961165,up,False,ram_ret ~ soxx_l3 + fx_l3 + btc_l3
SOXX-RAM,4,102,0.004065771974880042,0.0025859590062137306,1.5722491985025708,0.1158927696069189,0.4372793884658008,0.025663385548532758,0.024179262510519557,1.1258263595722258,0.6492187569882393,2.214241688844441e-22,0.4129426005703002,0.5098039215686274,up,False,ram_ret ~ soxx_l4 + fx_l4 + btc_l4
SOXX-RAM,5,101,0.0013769552072536453,0.001878079986136456,0.7331717591465774,0.46345367752820654,0.6615707395031429,0.03226765517832941,0.0028014995685845326,1.130221414859141,0.6322981902705616,1.1847890917488799e-22,0.28482938990055373,0.504950495049505,up,False,ram_ret ~ soxx_l5 + fx_l5 + btc_l5
SOXX-RAM,6,100,0.0029865546308306236,0.002145805407586105,1.3918105622589088,0.16397977067467528,0.4372793884658008,0.02479215107270971,0.012712164594732428,1.1275756048491588,0.6685707377351914,1.095272316132629e-21,0.7185111830118223,0.52,up,False,ram_ret ~ soxx_l6 + fx_l6 + btc_l6
SOXX-RAM,7,99,0.002337513256019568,0.0016093506023892984,1.4524574400066794,0.14637445488706283,0.4372793884658008,0.014192014149335463,0.007729435558813088,1.1281611164182985,0.6471199009924761,7.16674413893958e-22,0.8651761554407269,0.5353535353535354,up,False,ram_ret ~ soxx_l7 + fx_l7 + btc_l7
SOXX-RAM,8,98,0.0022917321209702376,0.0014379501102778885,1.5937493968600573,0.1109921756002166,0.4372793884658008,0.01316047263496456,0.007476830617860033,1.1461499032705085,0.6513444311480767,1.867854396961518e-21,0.9261534055728633,0.5306122448979592,up,False,ram_ret ~ soxx_l8 + fx_l8 + btc_l8
