date,group,from_date,index_ffill,index_valid,log_return,ret_lvl,ret_w,n_matched,n_used,n_trim,n_adj,n_adj_used,n_adj_trim,step_n,interval_days,bridge,valid_step,ret_ok
2024-03-03,high,,100.0,100.0,,,,0,0,0,0,0,0,0,,False,True,False
2024-03-10,high,2024-03-03,100.55799722657952,100.55799722657952,0.00556446189210491,0.00556446189210491,0.00556446189210491,427,426,1,427,426,1,1,7.0,False,True,True
2024-03-17,high,2024-03-10,101.198138985984,101.198138985984,0.006345719337519347,0.006345719337519347,0.006345719337519347,431,429,2,431,429,2,1,7.0,False,True,True
2024-03-24,high,2024-03-17,101.21584942721857,101.21584942721857,0.00017499226628156934,0.00017499226628156934,0.00017499226628156934,423,421,2,423,421,2,1,7.0,False,True,True
2024-03-31,high,2024-03-24,101.40561094164414,101.40561094164414,0.0018730648723942712,0.0018730648723942712,0.0018730648723942712,427,426,1,427,426,1,1,7.0,False,True,True
2024-04-07,high,2024-03-31,101.77223853672592,101.77223853672592,0.0036089366429368037,0.0036089366429368037,0.0036089366429368037,438,434,4,438,434,4,1,7.0,False,True,True
2024-04-14,high,2024-04-07,101.89640932026114,101.89640932026114,0.0012193413196036618,0.0012193413196036618,0.0012193413196036618,432,432,0,432,432,0,1,7.0,False,True,True
2024-04-21,high,2024-04-14,102.30166279680256,102.30166279680256,0.003969224629744345,0.003969224629744345,0.003969224629744345,430,429,1,430,429,1,1,7.0,False,True,True
2024-04-28,high,2024-04-21,102.025617388679,102.025617388679,-0.002701994328103185,-0.002701994328103185,-0.002701994328103185,433,433,0,433,433,0,1,7.0,False,True,True
2024-05-05,high,2024-04-28,101.95695153202658,101.95695153202658,-0.0006732522255152204,-0.0006732522255152204,-0.0006732522255152204,435,432,3,435,432,3,1,7.0,False,True,True
2024-05-12,high,2024-05-05,102.08560372475549,102.08560372475549,0.001261033117484887,0.001261033117484887,0.001261033117484887,437,437,0,437,437,0,1,7.0,False,True,True
2024-05-19,high,2024-05-12,101.99210375366515,101.99210375366515,-0.0009163174046573139,-0.0009163174046573139,-0.0009163174046573139,434,434,0,434,434,0,1,7.0,False,True,True
2024-05-26,high,2024-05-19,101.9108044666324,101.9108044666324,-0.000797431405471458,-0.000797431405471458,-0.000797431405471458,437,436,1,437,436,1,1,7.0,False,True,True
2024-06-02,high,2024-05-26,101.80591051032785,101.80591051032785,-0.0010298022485425368,-0.0010298022485425368,-0.0010298022485425368,437,436,1,437,436,1,1,7.0,False,True,True
2024-06-09,high,2024-06-02,101.58031998209124,101.58031998209124,-0.002218347035613279,-0.002218347035613279,-0.002218347035613279,438,437,1,438,437,1,1,7.0,False,True,True
2024-06-16,high,2024-06-09,101.53400847770425,101.53400847770425,-0.0004560141624739348,-0.0004560141624739348,-0.0004560141624739348,438,437,1,438,437,1,1,7.0,False,True,True
2024-06-23,high,2024-06-16,102.025061839925,102.025061839925,0.00482468616111596,0.00482468616111596,0.00482468616111596,439,438,1,439,438,1,1,7.0,False,True,True
2024-06-30,high,2024-06-23,102.17363840871123,102.17363840871123,0.0014552158738012464,0.0014552158738012464,0.0014552158738012464,435,435,0,435,435,0,1,7.0,False,True,True
2024-07-07,high,2024-06-30,101.7661794449869,101.7661794449869,-0.00399587986468138,-0.00399587986468138,-0.00399587986468138,434,434,0,434,434,0,1,7.0,False,True,True
2024-07-14,high,2024-07-07,101.81457141812137,101.81457141812137,0.00047540814974647675,0.00047540814974647675,0.00047540814974647675,432,432,0,432,432,0,1,7.0,False,True,True
2024-07-21,high,2024-07-14,101.86845730295957,101.86845730295957,0.0005291151298535188,0.0005291151298535188,0.0005291151298535188,432,431,1,432,431,1,1,7.0,False,True,True
2024-07-28,high,2024-07-21,102.39026013387439,102.39026013387439,0.005109245495852183,0.005109245495852183,0.005109245495852183,436,434,2,436,434,2,1,7.0,False,True,True
2024-08-04,high,2024-07-28,103.08753361596885,103.08753361596885,0.006786876049558457,0.006786876049558457,0.006786876049558457,418,416,2,418,416,2,1,7.0,False,True,True
2024-08-11,high,2024-08-04,103.34800912666157,103.34800912666157,0.002523554282027842,0.002523554282027842,0.002523554282027842,417,416,1,417,416,1,1,7.0,False,True,True
2024-08-18,high,2024-08-11,103.54470649984906,103.54470649984906,0.0019014437686212487,0.0019014437686212487,0.0019014437686212487,409,408,1,409,408,1,1,7.0,False,True,True
2024-08-25,high,2024-08-18,103.78068402427505,103.78068402427505,0.0022763987153932913,0.0022763987153932913,0.0022763987153932913,407,406,1,407,406,1,1,7.0,False,True,True
2024-09-01,high,2024-08-25,103.66286004249397,103.66286004249397,-0.0011359620274636077,-0.0011359620274636077,-0.0011359620274636077,410,410,0,410,410,0,1,7.0,False,True,True
2024-09-08,high,2024-09-01,103.65339553815633,103.65339553815633,-9.130499022100246e-05,-9.130499022100246e-05,-9.130499022100246e-05,407,407,0,407,407,0,1,7.0,False,True,True
2024-09-15,high,2024-09-08,104.22285206306913,104.22285206306913,0.005478816901420678,0.005478816901420678,0.005478816901420678,403,403,0,403,403,0,1,7.0,False,True,True
2024-09-22,high,2024-09-15,104.65866654353346,104.65866654353346,0.0041728451206338195,0.0041728451206338195,0.0041728451206338195,400,400,0,400,400,0,1,7.0,False,True,True
2024-09-29,high,2024-09-22,104.83309715763164,104.83309715763164,0.0016652745800263913,0.0016652745800263913,0.0016652745800263913,395,395,0,395,395,0,1,7.0,False,True,True
2024-10-06,high,2024-09-29,104.73132013528871,104.73132013528871,-0.0009713197656315557,-0.0009713197656315557,-0.0009713197656315557,406,405,1,406,405,1,1,7.0,False,True,True
2024-10-13,high,2024-10-06,104.66699274566022,104.66699274566022,-0.0006144021961499416,-0.0006144021961499416,-0.0006144021961499416,399,399,0,399,399,0,1,7.0,False,True,True
2024-10-20,high,2024-10-13,104.69487536077216,104.69487536077216,0.0002663581055038068,0.0002663581055038068,0.0002663581055038068,395,395,0,395,395,0,1,7.0,False,True,True
2024-10-27,high,2024-10-20,104.80335344707528,104.80335344707528,0.001035599170602499,0.001035599170602499,0.001035599170602499,397,397,0,397,397,0,1,7.0,False,True,True
2024-11-03,high,2024-10-27,104.83908022520671,104.83908022520671,0.00034083537241460013,0.00034083537241460013,0.00034083537241460013,401,401,0,401,401,0,1,7.0,False,True,True
2024-11-10,high,2024-11-03,105.22130575467622,105.22130575467622,0.0036392006948767586,0.0036392006948767586,0.0036392006948767586,400,400,0,400,400,0,1,7.0,False,True,True
2024-11-17,high,2024-11-10,105.29846791021848,105.29846791021848,0.0007330632904872791,0.0007330632904872791,0.0007330632904872791,400,400,0,400,400,0,1,7.0,False,True,True
2024-11-24,high,2024-11-17,106.12378492498024,106.12378492498024,0.0078073258222421974,0.0078073258222421974,0.0078073258222421974,402,402,0,402,402,0,1,7.0,False,True,True
2024-12-01,high,2024-11-24,106.58745280516582,106.58745280516582,0.00435960619205866,0.00435960619205866,0.00435960619205866,408,408,0,408,408,0,1,7.0,False,True,True
2024-12-08,high,2024-12-01,106.91289984402803,106.91289984402803,0.0030486815304524373,0.0030486815304524373,0.0030486815304524373,404,404,0,404,404,0,1,7.0,False,True,True
