group,quarter,n,mean_ret,std_ret,median_ret,block
CPU_ALL,1,30,-0.00023470367380456995,0.007295332391013036,0.0008587267814698801,all
CPU_ALL,2,25,-0.0020492606866844084,0.004715408542974951,-0.002617337241271232,all
CPU_ALL,3,24,-0.0002640804805242262,0.0037349991826747314,-0.00044841114340910394,all
CPU_ALL,4,26,0.0012573140468937229,0.005184922692252169,0.0015103829220912569,all
GPU_ALL,1,30,0.006169447403400247,0.01572238252498637,0.0029466536291718817,all
GPU_ALL,2,25,-0.0024276583440439544,0.0027381751090113583,-0.0020377322181679234,all
GPU_ALL,3,24,-0.0008096892379396602,0.0022145978759860845,-0.0005552417942621074,all
GPU_ALL,4,26,0.00125574727833166,0.00262492996258835,0.0003513654455663406,all
RAM_ALL,1,30,0.004396755375222488,0.01256686678194024,0.0012580068382873296,all
RAM_ALL,2,25,0.000277860484077769,0.002544057856097845,-0.0001854003295579286,all
RAM_ALL,3,24,0.0007196158354466371,0.003649284219629968,0.00015584736444169202,all
RAM_ALL,4,26,0.026688811306710244,0.042509010502987186,0.00392590224672101,all
