group,quarter,n,mean_ret,std_ret,median_ret,block
high,1,30,0.005697046165628679,0.016825921872593193,0.0020149741567417273,chip
high,2,25,-0.003629062324191366,0.003919502907198813,-0.002831408174012617,chip
high,3,24,-0.0006703479147730333,0.0024577575762092904,-0.00018350044618897744,chip
high,4,26,0.0012811950174703552,0.002991533505008297,0.0006297678119244059,chip
low,1,30,0.006278544470143451,0.016179279323390278,0.0026467528673824203,chip
low,2,25,0.00019692712660433444,0.0036190609244398726,0.00019258743611038365,chip
low,3,24,7.868111133384294e-05,0.0030280915453298257,0.0004063132996977826,chip
low,4,26,0.0015273608374711987,0.005113036983564808,0.000359785196203931,chip
mid,1,30,0.00633238650309787,0.016373908320126307,0.0036735216189773593,chip
mid,2,25,-0.0016586846110784466,0.002771924077736285,-0.001235058527401911,chip
mid,3,24,-0.00100419804741948,0.0021023517464678018,-0.0009152330952153093,chip
mid,4,26,0.0013144633492033963,0.0029316634483395588,0.000916239363060616,chip
