term,vif,cat
ret_l1,1.4717301715991726,GPU
fx_ret,1.0946343886089291,GPU
q2,2.2158769302648955,GPU
q3,1.9226624971943522,GPU
q4,1.9436113800639445,GPU
ai_0,1.3356226212941873,GPU
ai_12,1.3715511697681722,GPU
ai_38,1.391003764537924,GPU
crypto_0,1.2644160078556295,GPU
crypto_12,1.3236478125300972,GPU
crypto_38,1.3736241047247622,GPU
ret_l1,1.0941271706941615,CPU
fx_ret,1.0947740367159184,CPU
q2,1.9295308285089148,CPU
q3,1.7161992007676827,CPU
q4,1.827953509503936,CPU
ai_0,1.327906732888962,CPU
ai_12,1.372704576298976,CPU
ai_38,1.3938660649621961,CPU
crypto_0,1.1551499252610697,CPU
crypto_12,1.2554624325413335,CPU
crypto_38,1.337532829805554,CPU
ret_l1,1.3483653930358377,RAM
fx_ret,1.0990786789142657,RAM
q2,1.8710410255621446,RAM
q3,1.7283335456408933,RAM
q4,2.053544792766579,RAM
ai_0,1.3219610881501644,RAM
ai_12,1.3666469153657996,RAM
ai_38,1.3916118185121666,RAM
crypto_0,1.185420350889863,RAM
crypto_12,1.3312438344985082,RAM
crypto_38,1.3899769006474332,RAM
